"extension","keyword","description","parms_form","answer_form","n_fields"
"base","Compute","Use: 1.  Specify the scheduling option above. 2.  Click the 'Use Editor' button, below, to create the Compute expressions.","Compute   !1,10!

End","",1
"base","CHEAPO","Used to generate a FVS output file required for subsequent execution of the CHEAPO economic analysis program","CHEAPO    !1,10!","",1
"base","Compress","Compress is used to reduce the number of tree records stored inside the FVS.  It is done automatically when room is needed to store new trees  created by the Regneration Establishment process.  You can use this  keyword to manually schedule the tree compression process. When there are many records in the tree list, the record compression algorithm can reduce the number or records while minimizing loss of within-stand variation in tree attributes that are important for increment prediction. As a result, the number of calculations required for the projection, and the cost of the projection, can be reduced without significant bias. CAUTION:  If Compress is specified for the first or second cycle, the tree records will be subsequently tripled unless NoTriple or NumTrip is used to suppress the record tripling feature. Compression causes trees to lose their plot specific identity, as they may be combined with ""like"" trees from another plot.","Compress  !1,10!!2,10!!3,10!!4,10!","",4
"base","CrnMult","Alters the change in crown by a specified proportion, or in the case of dubbing adjusts the dubbed crown by the specified proportion. This keyword not applicable in IE, CI, and KT variants. Once keyword is in effect, it remains in effect until replaced by another multiplier. A multiplier value of 1.1 will make crown change 10% greater, a tree with a crown ratio going from 90% to 80% would now have a crown of 79%.","*Args: Species, Multiplier, min DBH, Max DBH
CrnMult   !1,10!   Parms(!2!, !3!, !4!, !5!)\n","",5
"base","CutEff","Keyword is used to change the cutting efficiency for all thinnings. The proportion of sample trees represented by a record that is eliminated if a tree is designated for removal. NOTES: 1. Keyword order is important; the cutting efficiency specified on a CutEff keyword only applies to thinning keywords which follow the CutEff keyword. 2. Multiple CutEff keywords can be included in a keyword set. 3. There also is a cutting efficiency parameter on each thinning request keyword. If a value is specified as part of a thinning request, it only applies to that thinning request. If a value is not supplied with the thinning request, the cutting efficiency parameter associated with the CutEff keyword will be used.","CutEff    !1,10!","",1
"base","CalbStat","Used to specify the minimum number of observations required for calibration.","Calbstat  !1,10!!2,10!!3,10!","",3
"base","Close","Close a file that is related to the data set reference number coded in the first field.","Close     !1,10!","",1
"base","CutList","Print a list of all harvested tree records or place a copy in a retrievable mass storage file. If a zero is specified for the year, the output will be generated for all cycles in the projection. Do not use this keyword when using the R1 Existing Vegetation Classifier or Elk Hiding Cover post processors.","","CutList   !1,10!!2,10!!3,10!                    !4,10!",4
"base","CWEqn","Sets species specific parameters crown width equations: CW = Coeff0 + Coeff1 * DBH + Coeff2 * (DBH**Coeff3)","","CWEqn     !1,10!!2,10!
!3,10!!4,10!!5,10!!6,10!!7,10!!8,10!!9,10!!10,10!",10
"base","CycleAt","Insures a cycle boundary exists at specified year.","CycleAt   !1,10!","",1
"base","DataScrn","Allows users to screen input data based on specified diameter limits. NOTE: The DataScrn keyword needs to precede any TREEDATA keyword or if data is being read from a database it must precede the DSNIN, STANDSQL, and TREESQL keywords.","","DataScrn  !1,10!!2,10!!3,10!",3
"base","Debug","Generate FVS debug output. If cycle is kept blank, debug information will be printed for all cycles. WARNING: A great deal of output can be generated using this keyword.","","Debug    !1,10!!2,10!!3,10!
!4!",4
"base","Defect","Specifies species-specific defect corrections for merchantable cubic and/or board foot volume estimates. Defect proportions are specified by species for the following eight DBH classes: 5, 10, 15, 20, 25, 30, 35, 40+ inches. A linear interpolation function calculates the defect proportion for the specified DBH of the tree.  This keywords effects all cycles. To schedule defect by cycle use the MCDEFECT or BFDEFECT keywords. This keyword maybe used multiple times in the same simulation. For each of the DBH classes, enter a defect correction proportion between 0 and 1.  For example, if the expected defect correction for a 5 inch tree was 35 percent, a value of .35 would be entered. For trees greater than 40 inches DBH, a constant value for defect correction is applied. Note:  The DEFECT keyword can not be used with in the Event Monitor.","","Defect    !1,10!!2,10!!3,10!
!4,10!!5,10!!6,10!!7,10!!8,10!!9,10!!10,10!!11,10!",11
"base","DelOTab","Selectively deletes portions of the main FVS output file (.out extenstion). Multiple selections are required to delete two or more portions of the FVS output.","","DelOTab   !1,10,numbers!",1
"base","Design","Specify information about the sampling design used to collect tree data. NOTE: Most Design cards are built for you based on stand and plot data.  To override any field of the generated Design card, only enter values in the fields to be overridden.","Design    !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10!","",7
"base","DgStDev","Change the limits of the normal distribution from which random errors are drawn for diameter increment predictions.","DgStDev   !1,10!","",1
"base","Echo","","Echo","",1
"base","EchoSum","Specifies the summary statistics tables from the main output file be written to a separate output file (.sum extension).  This file is used by the Average Summary Table post processor.","EchoSum   !1,10!","",1
"base","Fertiliz","Simulate the application of fertilizer.  Currently, only treatments with 200 lb/acre of nitrogen can be represented.  The effects are based on data from northern Idaho.","* Arg: Proportion of effects.
Fertiliz  !1,10!   Parms(200, 0, 0, !2!)\n","Fertiliz  !1,10!                              !2,10!",2
"base","FIAVBC","Used to activate FIA cubic foot volume, biomass, and carbon computation methods. This keyword allows users to produce stand (FVS_FIAVBC_Summary) and tree level output tables (FVS_FIAVBC_TreeList, FVS_FIAVBC_CutList, FVS_FIAVBC_ATRTList) that contain cubic foot volume, biomass, and carbon attributes. Additionally, users may request pre-defined stand level measures of biomass and carbon in the Event Monitor when this keyword is invoked. Users may set the merchantability limits for FIA merchantable volume, biomass, and carbon attributes. The national FIA merchantability limits or regional NFS merchantability limits can be globally set for all species in the variant. Custom merchantability limits for select species in the variant can be specified but user should be aware these will override the merchantability specifications initially defined by the default global specifications option (FIA or regional NFS). More information about this keyword can be found in the FVS keyword guide and users should refer to the variant overview for the default NFS regional merchantability limits. NOTE: This keyword cannot be scheduled and will be applied to the entire simulation. Users cannot modify cubic foot volume calculations with the DEFECT, MCDEFECT, MCFDLN, VOLEQNUM, and VOLUME keywords when this keyword is in effect","FIAVBC     !1,10,numbersf1!!4,20!!5,10!!6,10!!7,10!!8,10!!9,10!!10,10!","FIAVBC    !1,10,numbersf1!!4,20!!5,10!!6,10!!7,10!!8,10!!9,10!!10,10!",10
"base","FixCW","Used to override crown width estimates for specified species and diameter classes.","*Args: Species, Multiplier, min DBH, Max DBH
FixCW     !1,10!   Parms(!2!, !3!, !4!, !5!)\n","",5
"base","FixDG","Used to override diameter growth rates for specified species and diameter classes. NOTE: Adjusting the diameter growth will not affect the height growth for that cycle, however, the changed diameter growth and resulting basal area will affect mortality that cycle.","*Args: Species, Multiplier, min DBH, Max DBH
FixDG     !1,10!   Parms(!2!, !3!, !4!, !5!)\n","",5
"base","FixHtG","Used to override height growth rates for specified species and diameter classes. NOTE: Adjusting the height growth will not affect the diameter growth for that cycle, however, the changed height growth will affect mortality that cycle.","*Args: Species, Multiplier, min DBH, Max DBH
FixHtG    !1,10!   Parms(!2!, !3!, !4!, !5!)\n","",5
"base","FixMort","Used to override mortality rates for specified diameter classes and species. CAUTION: This keyword overrides BaMax and SDIMax induced mortality.","*Args: Species, Multiplier, Min DBH, Max DBH, Distribution
* 0=don't 1=add mortality to base model estimate.
FixMort   !1,10!   Parms(!2!, !3!, !4!, !5!, !6!, !7,,header!)\n","FixMort   !1,10!!2,10!!3,10!!4,10!!5,10!!6,10!!7,10,header!",7
"base","FvsStand","Creates a support file of sample tree records for the post processing program FVSSTAND Alone.  Survivor, mortality, and harvest tree records are written to a retrievable mass storage file. This keyword has two fields: Field 1 is the date/cycle request for the FvsStand list.  If a zero is specified for the year, the output will be generated for all cycles in the projection. Field 2 is used when Field 1 equals one to either suppress Cycle 0 information and record Cycle 1 (Field 2 = 1), or vice versa, suppress Cycle 1 information and record Cycle 0 (Field 2 = 2). FvsStand lists will use the first four digits of the batch file run to name its output file.  The ending extension is always ""*.fst"".  Users can also specify a MgmtID keyword to name the FvsStand list. FvsStand lists are similar to Treelist and Cutlist output files.  In addition, FvsStand output files contain stand structure and age data as well as past tree measure information.","","FvsStand  !1,10!!2,10!",2
"base","Growth","Identify the methods used to measure and input mortality, height and diameter growth data. Growth estimates can be either directly measured or computed as the difference between two successive diameter or height measurements. Furthermore, the values for DBH and HT can describe the tree at either the start of the end of the growth period.","Growth    !1,10!!2,10!!3,10!!4,10!!5,10!","",5
"base","HtgMult","A growth multiplier for the large tree height growth model.  Once set, the multiplier remains until replaced by a subsequent multiplier.","*Args: Species, Multiplier
HtgMult   !1,10!   Parms(!2!, !3!)\n","",3
"base","HtgStop","Stop the height growth to reflect temporary damage. NOTE: Using the defaults, no trees will have height growth affected. Field 6, the proportion of height growth retained, must be greater than 0","*Args: Species, Min Ht, Max Ht, Prob(noGrowth), Proportion, SD
HtgStop   !1,10!   Parms(!2!, !3!, !4!, !5!, !6!, !7!)\n","",7
"base","TopKill","Kill a portion of the top of a tree to reflect damage from logging or insects.","*Args:Species,Min Ht,Max Ht,Probability,Prop lost,Std Dev
TopKill   !1,10!   Parms(!2!, !3!, !4!, !5!, !6!, !7!)\n","",7
"base","InvYear","Specify the starting date for a projection. CAUTION: The default inventory year is read from your data.  This default is used to insure that the simulation starting year is not set to a year prior to this default inventory year.  This does not insure that the value you enter using this keyword is correct, nor does the system recognize that this value may cause an incorrect result.","InvYear   !1,10!","",1
"base","Locate","Specifies the location of the stand in terms of latitude, longitude, plus state and county codes.","Locate    !1,10!!2,10!!3,10!!4,10!","",4
"base","Managed","This keyword signals FVS that the stand is managed or unmanaged.  It affects the growth-rates of the following variants: Eastern Montana (EM)            large-tree diameter-growth Kookantl (KT)                   large-tree diameter-growth and small-tree height-growth Pacific Northwest Coast (PN)    small-tree diameter-growth West Cascades (WC)              small-tree diameter-growth Southeast Twigs (SE)            large-tree diameter-growth of loblolly shortleaf, and longleaf pine stands Southern (SN)                   large-tree diameter-growth of sand, slash, longleaf, loblolly, and eastern white pine Note: The management flag will have a default value of 1 if the MANAGED keyword is present; if the keyword is not present the stand is considered unmanaged.","Managed   !1,10!!2,10!","",2
"base","MCDefect","Specifies species-specific cubic foot volume defect corrections for cubic foot volume estimates.  In the eastern US this affects only the pulpwood cubic foot volume.  Defect proportions are specified by species for the following five DBH classes: 5, 10, 15, 20, 25+ inches.  A linear interpolation function calculates the defect proportion for the specified DBH of the tree. For each of the DBH classes, enter a defect correction proportion between 0 and 1.  For example, if the expected defect correction for a 5 inch tree was 35 percent, a value of .35 would be entered. For trees greater than 25 inches DBH, a constant value for defect correction is applied. Note:  If used inside an Event Monitor sequence, MCDEFECT will not affect cycle 0 volumes.","*Args: Species, 5"" defect, 10"", 15"", 20"", 25+""
MCDefect  !1,10!   Parms(!2!, !3!, !4!,              &
!5!, !6!, !7!)\n","",7
"base","MCFDLN","Enter species-specific parameters for log-linear form and defect correction equations for merchantable cubic foot volume estimates. In the eastern US this affects only pulpwood cubic foot volume.","MCFDLN    !1,10!!2,10!!3,10!","",3
"base","MinHarv","Specify minimum acceptable harvest standards for merchantable cubic foot volume, board foot volume, basal area per acre, total cubic foot volume, or sawlog cubic volume by cycle. For western variants, a non-zero value entered for sawlog cubic foot volume will only have an effect when the FIAVBC keyword is included in simulation. Once this keyword is in effect, it remains in effect until it is replaced by a subsequent multiplier.","* Arguments: Merch Cubic, Bdft, Ba, Total Cubic, Sawlog Cubic
MinHarv   !1,10!     Parms(!2!, !3!, !4!, !5!, !6!)","",6
"base","ModType","Field 1 is used to set model type in the CR variant while field 3 is used to set the FIA forest type in all variants. If the three digit forest type is selected, FVS will use the forest type for the first cycle and recalculate forest type for subsequent cycles. If the four digit forest type, prepended with a ""9"", is chosen, FVS will maintain the specified forest type for the entire simulation.","ModType   !1,10!!2,10!!3,10!!4,10!","",3
"base","MortMSB","Adds additional mortality based on the Mature Stand Boundary Concept The slope of the alternate mortality line refers to the relationship where x = ln(qmd) and y = ln(tpa). This keyword only works in variants using an SDI-based mortality model.","","MortMSB  !1,10!!2,10!!3,10!!4,10!!5,10!!6,10,numbers!",6
"base","MortMult","A multiplier used to alter mortality distribution. NOTE: If mortality is based on Stand Density Index, MortMult applies only to background mortality rates (i.e. 55% SDI and less).","*Args: Species, Multiplier, min DBH, Max DBH, Efficiency
MortMult  !1,10!   Parms(!2!, !3!, !4!, !5!)\n","",5
