"extension","keyword","field","widget","label","default","min","max","options","variant_defaults"
"armwrd3","TimeDead",3,"intSliderBox","Number of years since death for size class 24-48""","15",0,20,"",""
"armwrd3","TimeDead",4,"intSliderBox","Number of years since death for size class 48-100""","15",0,20,"",""
"armwrd3","TimeDead",5,"intSliderBox","Number of years since death for size class > 100""","15",0,20,"",""
"armwrd3","TTDMult",1,"intNumberBox","Year value takes effect","0",NA,NA,"",""
"armwrd3","TTDMult",2,"speciesSelection","Tree species to modify","deleteAll",NA,NA,"",""
"armwrd3","TTDMult",3,"numberBox","Time-to-death multiplier","blank",NA,NA,"",""
"armwrd3","WindThr",1,"scheduleBox","","",NA,NA,"",""
"armwrd3","WindThr",2,"sliderBox","Proportion of eligible trees to be windthrown","0",0,1,"",""
"armwrd3","WindThr",3,"sliderBox","Minimum number of eligible trees/acre necessary for windthrow","0",0,1000,"",""
"base","AddFile",1,"numberBox","Data set reference number","50",NA,NA,"",""
"base","ATRTList",1,"scheduleBox","","",NA,NA,"",""
"base","ATRTList",2,"numberBox","Database reference number for the output tree record file","3",NA,NA,"",""
"base","ATRTList",3,"longListButton","Heading option","Print heading that describes each table column",NA,NA,"Print heading that describes each table column|Print encoded (machine readable) header|Suppress all headings",""
"base","BAIMult",1,"scheduleBox","","",NA,NA,"",""
"base","BAIMult",2,"speciesSelection","Species to which multiplier is applied","",NA,NA,"",""
"base","BAIMult",3,"sliderBox","Multiplier value","1",0,20,"",""
"base","BAMax",1,"sliderBox","Maximum basal area (sq. ft.) per acre","310",150,650,"","ci=ci"
"base","BFDefect",1,"scheduleBox","","",NA,NA,"",""
"base","BFDefect",2,"speciesSelection","Species that will be affected by this keyword","",NA,NA,"",""
"base","BFDefect",3,"sliderBox","Board foot volume defect proportion for a 5-inch tree","0",0,1,"",""
"base","BFDefect",4,"sliderBox","Board foot volume defect proportion for a 10-inch tree","0",0,1,"",""
"base","BFDefect",5,"sliderBox","Board foot volume defect proportion for a 15-inch tree","0",0,1,"",""
"base","BFDefect",6,"sliderBox","Board foot volume defect proportion for a 20-inch tree","0",0,1,"",""
"base","BFDefect",7,"sliderBox","Board foot volume defect proportion for 25-inch tree and greater","0",0,1,"",""
"base","BFFDLN",1,"speciesSelection","Species whose equation is to be changed","",NA,NA,"",""
"base","BFFDLN",2,"numberBox","Intercept terms for log-linear equation","0",NA,NA,"",""
"base","BFFDLN",3,"numberBox","Slope coefficient for log-linear equation","1",NA,NA,"",""
"base","BFVolume",1,"scheduleBox","","",NA,NA,"",""
"base","BFVolume",2,"speciesSelection","Species whose limits are to be changed","",NA,NA,"",""
"base","BFVolume",3,"numberBox","Minimum merchantable DBH","",NA,NA,"","ni ie em bm ec kt wc pn ca=ni ie em bm ec kt wc pn ca ;; so ak nc=so ak nc ;; ut tt ci=ut tt ci ;; ws=ws ;; cr sw sp sf lp bp=cr sw sp sf lp bp ;; ne ls cs sn=ne ls cs sn"
"base","BFVolume",4,"numberBox","Minimum top diameter","",NA,NA,"","ni ie em bm ec kt wc pn ca=ni ie em bm ec kt wc pn ca ;; so ut tt ak ws ci nc=so ut tt ak ws ci nc ;; cr sw sp sf lp bp=cr sw sp sf lp bp ;; ne ls cs sn=ne ls cs sn"
"base","BFVolume",5,"numberBox","Stump height","blank",NA,NA,"",""
"base","BFVolume",6,"numberBox","Form class","",NA,NA,"","ni ie ut tt ak em ws ci cr bp sw sp sf lp ne ls cs sn kt=ni ie ut tt ak em ws ci cr bp sw sp sf lp ne ls cs sn kt ;; nc so bm ec wc pn ca=nc so bm ec wc pn ca"
"base","BFVolume",7,"longListButton","Volume calculation method","\",NA,NA,"\|6 = National Volume Estimator library equations|9 = NATCRS equations with international 1/4-inch board foot volumes","cs ls ne=cs ls ne"
"base","CalbStat",1,"noInput","","13",NA,NA,"",""
"base","CalbStat",2,"numberBox","Min. number of lrg tree dbh grwth measurements per species needed","5",NA,NA,"",""
"base","CalbStat",3,"numberBox","Min. number of sm tree ht grwth measurements per species needed","5",NA,NA,"",""
"base","CCAdj",1,"scheduleBox","","0",NA,NA,"",""
"base","CCAdj",2,"longListButton","Overlap Coefficient (Distribution Type)","1.0 (Random)",NA,NA,"0.13 (Extremely Clumpy)|0.33 (Very Clumpy)|0.60 (Moderately Clumpy)|0.93 (Slightly Clumpy)|1.0 (Random)|1.15 (Slightly Uniform)|1.52 (Moderately Uniform)|2.11 (Very Uniform)|3.77 (Extremely Uniform)",""
"base","CHEAPO",1,"numberBox","Dataset reference number","13",NA,NA,"",""
"base","Close",1,"numberBox","File reference number for the input or output file.","50",NA,NA,"",""
"base","Compress",1,"scheduleBox","","",NA,NA,"",""
"base","Compress",2,"sliderBox","Target number of tree records","675",50,3000,"",""
"base","Compress",3,"sliderBox","Percent defined by largest-difference method","50",0,100,"",""
"base","Compress",4,"listButton","Generate a lot of debug output","No",NA,NA,"No|Yes",""
"base","Compute",1,"scheduleBox","","",NA,NA,"",""
"base","CrnMult",1,"noInput","Not applicable to the variant you are using.","",NA,NA,"",""
"base","CrnMult",3,"","","",NA,NA,"","ak bm cr sw sp bp sf lp ec em nc so tt ut wc ws cs ls ne sn pn ca=ak bm cr sw sp bp sf lp ec em nc so tt ut wc ws cs ls ne sn pn ca"
"base","CrnMult",4,"","","",NA,NA,"","ak bm cr sw sp bp sf lp ec em nc so tt ut wc ws cs ls ne sn pn ca=ak bm cr sw sp bp sf lp ec em nc so tt ut wc ws cs ls ne sn pn ca"
"base","CrnMult",5,"","","",NA,NA,"","ak bm cr sw sp bp sf lp ec em nc so tt ut wc ws cs ls ne sn pn ca=ak bm cr sw sp bp sf lp ec em nc so tt ut wc ws cs ls ne sn pn ca"
"base","CrnMult",6,"longListButton","Application of multiplier","Apply multiplier to crown change and dubbed crowns",NA,NA,"Apply multiplier to crown change and dubbed crowns|Apply multiplier to dubbed crowns only",""
"base","CutEff",1,"sliderBox","Proportion of sample trees to be removed","1",0,1,"",""
"base","CutList",1,"scheduleBox","","",NA,NA,"",""
"base","CutList",2,"numberBox","Database reference number for the output tree record file","3",NA,NA,"",""
"base","CutList",3,"longListButton","Heading option","Print heading that describes each table column",NA,NA,"Print heading that describes each table column|Output heading used by post processing programs|Suppress all headings",""
"base","CutList",4,"listButton","Listing format","Generate output in current format",NA,NA,"Generate output in current format|Generate output in pre-1993 format",""
"base","CWEqn",1,"speciesSelection","Species to which equation is applied","",NA,NA,"",""
"base","CWEqn",2,"sliderBox","Transition DBH between small and large tree coefficients","0",NA,NA,"",""
"base","CWEqn",3,"numberBox","Coeff0","0",NA,NA,"",""
"base","CWEqn",4,"numberBox","Coeff1 * DBH","0",NA,NA,"",""
"base","CWEqn",5,"numberBox","Coeff2 * f(DBH,Coeff3)","0",NA,NA,"",""
"base","CWEqn",6,"numberBox","DBH**Coeff3","0",NA,NA,"",""
"base","CWEqn",7,"numberBox","Coeff0","0",NA,NA,"",""
"base","CWEqn",8,"numberBox","Coeff1 * DBH","0",NA,NA,"",""
"base","CWEqn",9,"numberBox","Coeff2 * f(DBH,Coeff3)","0",NA,NA,"",""
"base","CWEqn",10,"numberBox","DBH**Coeff3","0",NA,NA,"",""
"base","CycleAt",1,"intNumberBox","Year to insert a cycle (if not present)","blank",NA,NA,"",""
"base","DataScrn",1,"numberBox","Lower diameter limit for trees to be included (greater than/equal)","0",NA,NA,"",""
"base","DataScrn",2,"numberBox","Upper diameter limit for trees to be included (less than)","999",NA,NA,"",""
"base","DataScrn",3,"speciesSelection","range applies","",NA,NA,"",""
